strategy,thres_schema,thres_item_final,n_reps,mean_AC,mean_RT,mean_performance,se_AC,se_RT,se_performance
baseline,30,15,10,0.3602941176470588,28.488584803921615,28.988398692810456,0.03550513186256309,1.0190247231516112,1.8116629660861177
bonus_oriented,40,40,10,0.3777380952380952,52.74513142857158,29.21690476190476,0.030670804093370915,1.6981639080865834,1.0969783993851294
bonus_oriented,40,45,10,0.3917261904761905,58.769447857143774,29.50452380952381,0.03365122065654506,3.375229133283766,1.7225560151256776
bonus_oriented,40,50,10,0.47822344322344323,60.492231978022055,32.558131868131866,0.026634109121884065,1.9024909270016201,1.2625837734674406
bonus_oriented,45,40,10,0.4161904761904762,50.65021714285728,32.37547619047619,0.03846186018432413,1.194205111874567,1.8538214448423886
bonus_oriented,45,45,10,0.4142765567765568,57.140223882784305,31.344212454212453,0.030122929897805163,1.6382614774830475,1.5571145950117276
bonus_oriented,45,50,10,0.4087912087912088,59.26837087912122,30.796153846153846,0.028687423037816732,1.2392792304632476,1.1075860100749748
bonus_oriented,50,40,10,0.4309523809523809,50.332160238095284,31.865714285714287,0.044231348549500865,1.1902711202061236,2.016176148937005
bonus_oriented,50,45,10,0.4731060606060606,57.998904307360156,32.97556277056277,0.024716830119243704,4.952768773547007,0.845981980000275
bonus_oriented,50,50,10,0.37074175824175826,65.23737170329727,29.301648351648353,0.022138124499921596,1.6209234929647718,1.119263481635209
payoff_oriented,15,10,10,0.24811769005847953,18.37027596856719,24.1796783625731,0.02942131708180048,2.0876908112366044,1.1921167829389452
payoff_oriented,15,12.5,10,0.2608479532163743,21.55366865497074,24.331783625730996,0.02841451404422618,2.3625161615052472,0.9505733968011989
payoff_oriented,15,15,10,0.32320261437908493,24.29470522875828,25.95751633986928,0.03263572744483986,1.1433108130403802,0.9071974298502503
payoff_oriented,20,10,10,0.31176900584795325,20.412463888889,26.578362573099415,0.024409136624200346,0.8200004104065569,1.1060924714094051
payoff_oriented,20,12.5,10,0.30007309941520466,21.32844488304098,27.2343567251462,0.02521058602139335,0.7654297962820624,1.152021242868708
payoff_oriented,20,15,10,0.29027777777777775,22.59219722222222,25.455555555555556,0.027188975666714854,0.25073712435333306,1.0189746453402877
payoff_oriented,25,10,10,0.404312865497076,21.811539912280725,30.15190058479532,0.03462568228312238,0.6429596216851985,1.360145382511194
payoff_oriented,25,12.5,10,0.34558823529411764,23.530301470588284,28.255065359477125,0.023335776811738144,0.9198499020057781,1.1793439415579343
payoff_oriented,25,15,10,0.3610294117647059,25.461798692810472,27.815849673202614,0.027652664221077233,0.5977523678562485,0.941689569361079
