strategy,Round,mean_AC,se_AC
bonus_oriented,1,0.25,0.07694837640638655
bonus_oriented,2,0.375,0.08792191511730585
bonus_oriented,3,0.29999999999999993,0.0760885910252682
bonus_oriented,4,0.35,0.0895897080555221
bonus_oriented,5,0.375,0.07140507132218492
bonus_oriented,6,0.575,0.08331140062250911
bonus_oriented,7,0.475,0.09230242056471359
bonus_oriented,8,0.3,0.09176629354822469
bonus_oriented,9,0.35,0.0895897080555221
bonus_oriented,10,0.525,0.08487607064668493
bonus_oriented,11,0.5,0.09597148699373931
bonus_oriented,12,0.35,0.0638666373658505
bonus_oriented,13,0.4,0.09318911162960931
bonus_oriented,14,0.275,0.08487607064668494
bonus_oriented,15,0.25,0.11423419168292193
payoff_oriented,1,0.2,0.06688560540599386
payoff_oriented,2,0.10000000000000002,0.04588314677411235
payoff_oriented,3,0.275,0.0767343332201228
payoff_oriented,4,0.225,0.06761929030278735
payoff_oriented,5,0.25,0.05735393346764043
payoff_oriented,6,0.225,0.06761929030278735
payoff_oriented,7,0.225,0.06761929030278735
payoff_oriented,8,0.35,0.08191780219091253
payoff_oriented,9,0.32500000000000007,0.09086571931905023
payoff_oriented,10,0.22500000000000003,0.0767343332201228
payoff_oriented,11,0.2,0.06688560540599386
payoff_oriented,12,0.275,0.0767343332201228
payoff_oriented,13,0.17499999999999996,0.06564457728034959
payoff_oriented,14,0.25,0.07694837640638655
payoff_oriented,15,0.29999999999999993,0.0760885910252682
payoff_oriented,16,0.275,0.08487607064668493
payoff_oriented,17,0.3888888888888889,0.08627698550617051
payoff_oriented,18,0.19444444444444445,0.07161636274774877
payoff_oriented,19,0.25,0.09128709291752768
