model,agent,risk,AC_mean,AC_se,perf_mean,perf_se,RT_mean,RT_se
adapted,baseline,Hc,0.38382352941176473,0.018964209401379186,23.53639705882353,0.8181650403653548,30.929898621323552,0.481756453638531
adapted,baseline,Lc,0.393734681372549,0.019206174638526027,30.06470588235294,0.8773974686112356,29.184793402777874,0.6493261445189475
adapted,bonus,Hc,0.3964652014652015,0.02302623468349497,24.41024725274725,0.9715286581925201,59.949862097069996,1.097753930465477
adapted,bonus,Lc,0.44755411255411254,0.02477721664891766,31.899404761904762,1.1467505328841179,58.349937521645764,2.334311504820388
adapted,payoff,Hc,0.3861315359477124,0.018966071321647543,23.848161764705882,0.8528271915009846,26.316085876225593,0.9433439469139586
adapted,payoff,Lc,0.35757680813553494,0.016668622307421117,28.18454484864121,0.7087131203910771,22.949377586429335,0.7549099654884847
original,baseline,Hc,0.42017463235294117,0.019880022656675517,25.361836192810458,1.0147318075853449,28.97125664828442,0.7503227325068162
original,baseline,Lc,0.38897569444444446,0.024604160261042465,30.557455065359477,0.9706709572548461,28.88012045547396,0.7701354745924086
original,bonus,Hc,0.42043498168498167,0.018590841977605948,26.142527472527473,0.7976009118593765,55.94842018315042,0.8776452226618455
original,bonus,Lc,0.40687271062271063,0.01927037710044859,30.78349816849817,1.0407234952708162,56.221311950549754,1.3597582148616134
original,payoff,Hc,0.41745571035431717,0.01993961868068658,24.333359133126933,0.7449263469358784,22.283912727898255,0.5871286974345769
original,payoff,Lc,0.3957150842793258,0.013640039989428998,29.127536979704164,0.5397911852353015,22.83821167010659,0.7969444751145315
