metric,term,estimate,std_error,t_value,p_value
performance,(Intercept),23.953688982490707,1.9007123540053867,12.602479766079755,5.546781367050593e-33
performance,strategybonus_oriented,3.8250648255779263,3.548465470423576,1.077949005692687,0.28142572562283963
performance,riskHc,-4.122460720286995,2.688013189204523,-1.5336460166354224,0.1255660121151195
performance,modeladapted,-6.418557016336609,2.6880131892045527,-2.387844316432098,0.017210248570332785
performance,thres_schema,0.2473201740210224,0.07271099610873791,3.40141364108339,7.082620858706815e-4
performance,thres_item_final,-0.18126738250855975,0.09197294345730041,-1.9708772568827855,0.04912925057768796
performance,strategybonus_oriented:riskHc,0.8372785698451941,5.0182879938857665,0.16684546021777272,0.8675395575164367
performance,strategybonus_oriented:modeladapted,-11.93525173572417,5.018287993885782,-2.378351292366227,0.01765609773961398
performance,riskHc:modeladapted,6.418557016336744,3.8014247080108134,1.6884609085669378,0.09176564459480986
performance,riskHc:thres_schema,-0.07392815170939458,0.1028288768306351,-0.7189434912447636,0.47241429652362277
performance,riskHc:thres_item_final,0.028494267059057762,0.13006938400868895,0.21906974709093938,0.8266592126993485
performance,strategybonus_oriented:riskHc:modeladapted,11.935251735724702,7.096930940847414,1.6817483268760067,0.09306114211948878
performance,riskLc:modeladapted:thres_schema,0.1748968656007234,0.10282887683063499,1.7008536025224557,0.0894120910195141
performance,riskHc:modeladapted:thres_schema,-5.3249999326054715e-15,0.10282887683063507,-5.1785063658490065e-14,0.9999999999999587
performance,riskLc:modeladapted:thres_item_final,0.23327673683958866,0.130069384008689,1.7934792158622441,0.07332541684258952
performance,riskHc:modeladapted:thres_item_final,-1.0644570637562836e-14,0.13006938400868945,-8.18376339573632e-14,0.9999999999999347
AC,(Intercept),0.23154808618979122,0.04634025778783542,4.996693959923847,7.365480721286762e-7
AC,strategybonus_oriented,0.06361470534944513,0.08651325083679397,0.7353174771972606,0.4623910542923775
AC,riskHc,-1.3184037447700514e-15,0.06553502104742262,-2.0117545149119958e-14,0.999999999999984
AC,modeladapted,-0.14674226212265112,0.06553502104742334,-2.239142671770312,0.025458201683031572
AC,thres_schema,0.005608789247817881,0.0017727281545725478,3.163930822303835,0.001623500516511454
AC,thres_item_final,-0.002833928114655517,0.002242343456302506,-1.2638242846742576,0.20671141904485602
AC,strategybonus_oriented:riskHc,-3.6520294636550384e-16,0.12234821265838251,-2.9849471310644643e-15,0.9999999999999976
AC,strategybonus_oriented:modeladapted,-0.28975319113625025,0.12234821265838289,-2.368266645180103,0.01814081552000885
AC,riskHc:modeladapted,0.14674226212265237,0.09268051557567182,1.5833129672529735,0.11379924860262573
AC,riskHc:thres_schema,8.165658612015797e-17,0.0025070161985971404,3.2571223977671476e-14,0.999999999999974
AC,riskHc:thres_item_final,-3.917485959993731e-17,0.0031711525274015877,-1.2353508467798873e-14,0.9999999999999902
AC,strategybonus_oriented:riskHc:modeladapted,0.28975319113625897,0.17302650167359435,1.6746174044648001,0.09445344898912286
AC,riskLc:modeladapted:thres_schema,0.00433966786782198,0.002507016198597138,1.7310091056652714,0.08388828274343917
AC,riskHc:modeladapted:thres_schema,-7.359901838496326e-17,0.00250701619859714,-2.935721692829401e-14,0.9999999999999766
AC,riskLc:modeladapted:thres_item_final,0.005072846410268876,0.0031711525274015885,1.5996854034723826,0.11011704240995074
AC,riskHc:modeladapted:thres_item_final,-1.771544794103467e-16,0.0031711525274016,-5.586438302149557e-14,0.9999999999999554
RT,(Intercept),8.300049203439029,5.045114770018365,1.6451655872654836,0.10038205029921982
RT,strategybonus_oriented,-7.7345196120956095,9.418792653190389,-0.821179518106891,0.4118220088167689
RT,riskHc,4.817046136897958e-13,7.134869731488827,6.751414276897792e-14,0.9999999999999462
RT,modeladapted,-2.754556349954966,7.134869731488905,-0.38606960654068523,0.6995617616938522
RT,thres_schema,0.043351047248426894,0.1929988615257361,0.22461815010575129,0.8223415207303744
RT,thres_item_final,1.183622938362481,0.24412639529630542,4.8484021440036145,1.5325591495778667e-6
RT,strategybonus_oriented:riskHc,8.380991151220233e-13,13.320184311322238,6.291948335952333e-14,0.9999999999999498
RT,strategybonus_oriented:modeladapted,4.681295402129993,13.32018431132228,0.35144374077097784,0.7253606285180653
RT,riskHc:modeladapted,2.7545563499549757,10.090229540036837,0.2729924367949432,0.7849390883622113
RT,riskHc:thres_schema,-1.567689261029436e-14,0.27294160749226454,-5.743680032637992e-14,0.9999999999999543
RT,riskHc:thres_item_final,-1.2954466228087891e-14,0.34524685916129283,-3.7522328978048164e-14,0.99999999999997
RT,strategybonus_oriented:riskHc:modeladapted,-4.681295402130072,18.837585306381477,-0.2485082523047273,0.8038136598531905
RT,riskLc:modeladapted:thres_schema,0.20549755083830587,0.2729416074922642,0.7528993205776813,0.45176210214008694
RT,riskHc:modeladapted:thres_schema,-2.4514505609842755e-15,0.2729416074922644,-8.981593475277503e-15,0.9999999999999929
RT,riskLc:modeladapted:thres_item_final,-0.32186875171511264,0.345246859161293,-0.9322858215047265,0.3515084432546699
RT,riskHc:modeladapted:thres_item_final,4.1209210082982556e-15,0.34524685916129416,1.193615785038329e-14,0.9999999999999905
